Unnamed: 0,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg)
332,daun beluntas mentah,84,1.1,0.2,4.4,3.1,0.1,0.0,550.0,2.0,0.05,0.07,0.18,118,27.0,29,203,137,22.0,29,0.8,0.1
333,daun gambas mentah,155,3.7,0.2,7.3,0.6,0.1,0.0,519.0,0.0,0.09,0.19,0.54,104,33.0,11,550,211,62.0,72,3.1,0.4
334,daun jambu mete muda,155,3.7,0.2,7.3,0.6,0.1,0.0,519.0,0.0,0.09,0.19,0.54,104,33.0,11,550,211,62.0,72,3.1,0.4
335,daun kacang panjang,155,3.7,0.2,7.3,0.6,0.1,0.0,519.0,0.0,0.09,0.19,0.54,104,33.0,11,550,211,62.0,72,3.1,0.4
336,daun katuk mentah,251,5.3,0.9,11.2,2.0,0.1,0.0,701.0,0.0,0.22,0.51,0.93,23,31.0,9,344,151,151.0,67,2.3,0.5
337,daun kecipir mentah,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
338,daun kelor mentah,251,5.3,0.9,11.2,2.0,0.1,0.0,701.0,0.0,0.22,0.51,0.93,23,31.0,9,344,151,151.0,67,2.3,0.5
339,daun kemangi mentah,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
340,daun koro,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
341,daun labu siam mentah,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
342,daun labu waluh mentah,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
343,daun lompong,155,3.7,0.2,7.3,0.6,0.1,0.0,519.0,0.0,0.09,0.19,0.54,104,33.0,11,550,211,62.0,72,3.1,0.4
344,daun mangkokan mentah,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
345,daun melinjo mentah,155,3.7,0.2,7.3,0.6,0.1,0.0,519.0,0.0,0.09,0.19,0.54,104,33.0,11,550,211,62.0,72,3.1,0.4
346,daun pepaya,251,5.3,0.9,11.2,2.0,0.1,0.0,701.0,0.0,0.22,0.51,0.93,23,31.0,9,344,151,151.0,67,2.3,0.5
347,daun singgrang,84,1.1,0.2,4.4,3.1,0.1,0.0,550.0,2.0,0.05,0.07,0.18,118,27.0,29,203,137,22.0,29,0.8,0.1
348,daun singkong mentah,155,3.7,0.2,7.3,0.6,0.1,0.0,519.0,0.0,0.09,0.19,0.54,104,33.0,11,550,211,62.0,72,3.1,0.4
349,daun tales,155,3.7,0.2,7.3,0.6,0.1,0.0,519.0,0.0,0.09,0.19,0.54,104,33.0,11,550,211,62.0,72,3.1,0.4
350,daun tlepok,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
351,daun ubi jalar,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
352,gambas / oyong mentah,84,0.9,0.3,4.3,1.4,0.1,0.0,29.0,0.0,0.04,0.04,0.07,20,6.0,1,192,27,24.0,39,0.4,0.4
353,genjer / bengok,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
354,gundho,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
355,jamur coklat mentah,113,2.2,0.5,5.1,2.2,0.2,0.0,0.0,0.0,0.07,0.3,0.1,18,4.0,2,356,6,12.0,87,1.7,0.9
356,jamur kuping segar,113,2.2,0.5,5.1,2.2,0.2,0.0,0.0,0.0,0.07,0.3,0.1,18,4.0,2,356,6,12.0,87,1.7,0.9
357,jamur putih mentah,113,2.2,0.5,5.1,2.2,0.2,0.0,0.0,0.0,0.07,0.3,0.1,18,4.0,2,356,6,12.0,87,1.7,0.9
358,jamur so,113,2.2,0.5,5.1,2.2,0.2,0.0,0.0,0.0,0.07,0.3,0.1,18,4.0,2,356,6,12.0,87,1.7,0.9
359,jantung pisang segar,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
360,kangkung,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
361,kangkung mentah,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
362,kembang kool mentah,105,1.4,0.3,5.4,2.3,0.1,0.0,13.0,0.0,0.05,0.04,0.1,43,32.0,18,246,47,15.0,23,0.6,0.2
363,kembang turi mentah,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
364,ketimun mentah,54,0.7,0.1,2.8,0.8,0.1,0.0,21.0,0.0,0.02,0.02,0.04,13,5.0,2,144,14,11.0,20,0.3,0.2
365,kool merah / putih mentah,92,1.0,0.4,4.5,2.8,0.2,0.0,13.0,0.0,0.06,0.06,0.11,20,20.0,8,97,31,8.0,15,0.2,0.1
366,krai / mentimun,54,0.7,0.1,2.8,0.8,0.1,0.0,21.0,0.0,0.02,0.02,0.04,13,5.0,2,144,14,11.0,20,0.3,0.2
367,kuah daging ayam belu,310,7.0,4.9,0.0,0.0,1.1,21.0,10.0,0.0,0.02,0.06,0.07,1,0.0,19,47,3,5.0,47,0.4,0.5
368,kuah oseng bayam belu,88,0.5,2.0,0.5,0.4,0.0,0.0,67.0,0.0,0.01,0.01,0.02,16,6.0,4,44,16,3.0,9,0.2,0.0
369,kuah sayur kangkung belu,21,0.8,0.1,0.7,0.7,0.0,0.0,103.0,1.0,0.01,0.02,0.04,25,9.0,5,69,25,5.0,14,0.4,0.1
370,kuah sayur sawi belu,29,0.8,0.1,1.1,0.8,0.0,0.0,108.0,1.0,0.02,0.02,0.04,25,10.0,6,87,25,6.0,16,0.4,0.1
371,labu air mentah,84,0.9,0.3,4.3,1.4,0.1,0.0,29.0,0.0,0.04,0.04,0.07,20,6.0,1,192,27,24.0,39,0.4,0.4
372,labu kuning,163,0.9,0.6,8.8,2.8,0.3,0.0,401.0,0.0,0.09,0.02,0.07,28,10.0,1,437,14,8.0,20,0.3,0.3
373,labu siam mentah,84,0.9,0.3,4.3,1.4,0.1,0.0,29.0,0.0,0.04,0.04,0.07,20,6.0,1,192,27,24.0,39,0.4,0.4
374,lobak mentah,54,0.7,0.1,2.8,0.8,0.1,0.0,21.0,0.0,0.02,0.02,0.04,13,5.0,2,144,14,11.0,20,0.3,0.2
375,lompong pari mentah,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
376,loncang,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
377,pare pahit mentah,84,0.9,0.3,4.3,1.4,0.1,0.0,29.0,0.0,0.04,0.04,0.07,20,6.0,1,192,27,24.0,39,0.4,0.4
378,pare ulo mentah,84,0.9,0.3,4.3,1.4,0.1,0.0,29.0,0.0,0.04,0.04,0.07,20,6.0,1,192,27,24.0,39,0.4,0.4
379,pepes jamur,113,2.2,0.5,5.1,2.2,0.2,0.0,0.0,0.0,0.07,0.3,0.1,18,4.0,2,356,6,12.0,87,1.7,0.9
380,rebung mentah,54,1.0,0.2,2.1,1.4,0.1,0.0,33.0,0.0,0.05,0.03,0.04,56,4.0,9,158,19,9.0,20,0.5,0.2
381,rebus daun lettuce belu,1226,6.7,2.9,62.1,6.2,1.3,0.0,9.0,1.0,0.33,0.17,0.25,35,1.0,30,271,10,104.0,198,2.9,1.5
382,rebus daun singkong belu,33,0.8,0.0,1.6,0.1,0.0,0.0,114.0,0.0,0.02,0.04,0.12,23,7.0,2,121,46,14.0,16,0.7,0.1
383,sambal tomat belu,259,1.0,4.9,4.9,1.9,0.1,0.0,52.0,0.0,0.05,0.03,0.06,13,12.0,8,183,5,11.0,30,0.6,0.2
384,sambal tomato and daging kuda belu,234,8.0,1.7,2.3,0.6,0.2,17.0,44.0,0.0,0.04,0.1,0.17,10,10.0,20,201,7,15.0,74,0.8,0.8
385,santan daun ubu /campur daun pepaya bel,121,1.6,1.4,3.5,0.6,0.1,0.0,208.0,0.0,0.04,0.08,0.22,43,13.0,5,234,85,26.0,33,1.3,0.2
386,sate kentang,389,2.0,0.1,21.6,1.5,0.0,0.0,0.0,0.0,0.11,0.02,0.3,9,13.0,5,391,5,25.0,50,0.4,0.3
387,sawi hijau,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
388,sawi putih mentah,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
389,sayur asem,205,1.8,2.7,5.7,1.5,0.6,0.0,80.0,2.0,0.03,0.06,0.05,25,13.0,5,164,37,25.0,45,0.6,0.3
390,sayur bayam,50,1.5,0.2,1.9,1.2,0.1,0.0,410.0,1.0,0.05,0.12,0.12,73,5.0,35,233,68,44.0,28,1.8,0.4
391,sayur bayam jagung,155,1.6,0.5,8.3,1.3,0.2,0.0,168.0,0.0,0.09,0.07,0.07,43,4.0,19,168,28,27.0,42,0.9,0.3
392,sayur bayam wortel,79,1.0,0.1,4.1,1.5,0.1,0.0,785.0,1.0,0.03,0.07,0.13,34,3.0,35,166,37,22.0,21,0.9,0.3
393,sayur bening campur,138,1.2,0.3,7.5,1.5,0.2,0.0,473.0,0.0,0.06,0.05,0.09,27,3.0,24,142,20,18.0,32,0.6,0.2
394,sayur buah kelor,105,0.3,0.2,6.3,1.3,0.0,0.0,32.0,1.0,0.01,0.01,0.03,9,5.0,2,66,10,4.0,7,0.2,0.0
395,sayur caisin,46,0.5,0.2,2.3,1.4,0.1,0.0,7.0,0.0,0.03,0.03,0.06,10,10.0,4,49,16,4.0,8,0.1,0.1
396,sayur cokka-cokka,46,0.5,0.2,2.3,1.4,0.1,0.0,7.0,0.0,0.03,0.03,0.06,10,10.0,4,49,16,4.0,8,0.1,0.1
397,sayur daun kelor,33,1.2,0.1,1.1,1.0,0.0,0.0,152.0,1.0,0.02,0.03,0.06,37,13.0,8,101,37,8.0,21,0.6,0.1
398,sayur daun singkong,259,1.9,5.1,3.7,0.3,0.1,0.0,260.0,0.0,0.05,0.1,0.27,52,17.0,6,275,106,31.0,36,1.6,0.2
399,sayur gambas,126,0.1,0.2,7.7,1.4,0.1,0.0,3.0,1.0,0.01,0.01,0.03,2,3.0,0,58,4,3.0,4,0.1,0.0
400,sayur gulai daging,1230,17.6,23.3,3.4,1.9,1.1,61.0,5.0,0.0,0.06,0.11,0.29,19,1.0,39,317,27,29.0,152,2.7,3.0
401,sayur jantung pisang belu,46,0.6,0.4,2.5,1.2,0.2,0.0,48.0,1.0,0.01,0.01,0.03,20,4.0,3,75,10,1.0,16,0.4,0.1
402,sayur kangkung,46,1.6,0.1,1.5,1.4,0.0,0.0,212.0,1.0,0.03,0.04,0.08,51,18.0,11,141,52,11.0,29,0.8,0.1
403,sayur katuk,50,1.7,0.2,1.7,1.5,0.0,0.0,231.0,1.0,0.03,0.04,0.09,52,23.0,12,147,52,11.0,29,0.8,0.1
404,sayur labu,59,0.5,0.5,2.3,0.8,0.1,0.0,15.0,0.0,0.02,0.02,0.04,10,3.0,1,100,14,12.0,21,0.2,0.2
405,sayur lodeh,234,1.9,3.4,6.0,1.7,0.6,0.0,80.0,2.0,0.04,0.07,0.05,26,13.0,5,171,38,25.0,48,0.6,0.3
406,sayur nangka belu,276,1.3,3.5,8.7,1.9,0.1,0.0,0.0,0.0,0.04,0.02,0.1,13,4.0,4,152,17,11.0,36,0.4,0.3
407,sayur sop,435,1.8,7.0,10.5,3.3,0.2,0.0,473.0,1.0,0.07,0.05,0.1,32,3.0,28,213,23,24.0,55,1.1,0.5
408,sayur sop daging cincang wortel,276,6.5,1.7,5.8,0.8,0.1,14.0,291.0,0.0,0.03,0.04,0.12,5,0.0,22,115,7,10.0,56,0.5,1.0
409,sayur sop macaroni,531,6.5,7.0,10.5,1.7,2.1,8.0,198.0,1.0,0.05,0.05,0.11,17,2.0,16,157,16,26.0,74,0.8,0.7
410,sayur soun,406,4.0,6.4,7.2,2.1,1.6,0.0,6.0,1.0,0.05,0.02,0.04,37,1.0,3,120,14,25.0,64,0.9,0.6
411,selada air mentah,155,3.7,0.2,7.3,0.6,0.1,0.0,519.0,0.0,0.09,0.19,0.54,104,33.0,11,550,211,62.0,72,3.1,0.4
412,selada mentah,54,1.0,0.2,2.1,1.4,0.1,0.0,33.0,0.0,0.05,0.03,0.04,56,4.0,9,158,19,9.0,20,0.5,0.2
413,seledri,54,1.0,0.2,2.1,1.4,0.1,0.0,33.0,0.0,0.05,0.03,0.04,56,4.0,9,158,19,9.0,20,0.5,0.2
414,semur kentang,494,8.9,2.3,15.4,0.6,0.1,21.0,194.0,0.0,0.05,0.06,0.2,5,3.0,26,216,6,14.0,79,0.7,1.5
415,sup a,1255,10.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
416,sup b,1464,5.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
417,telur ceplok,799,12.0,15.1,1.0,0.0,4.2,403.0,181.0,2.0,0.07,0.48,0.11,42,0.0,118,120,48,10.0,163,1.1,1.0
418,telur dadar,782,11.5,14.7,1.2,0.0,4.2,382.0,174.0,2.0,0.07,0.47,0.11,40,0.0,114,120,51,10.0,159,1.1,1.0
419,telur goreng,799,12.0,15.1,1.0,0.0,4.2,403.0,181.0,2.0,0.07,0.48,0.11,42,0.0,118,120,48,10.0,163,1.1,1.0
420,telur asin,649,12.6,10.6,1.1,0.0,1.4,424.0,190.0,2.0,0.07,0.51,0.12,44,0.0,124,126,50,10.0,172,1.2,1.1
421,telur ayam,649,12.6,10.6,1.1,0.0,1.4,424.0,190.0,2.0,0.07,0.51,0.12,44,0.0,124,126,50,10.0,172,1.2,1.1
422,telur ayam bagian kuning,1163,19.2,20.7,2.3,0.0,1.8,1326.0,810.0,2.0,0.24,0.6,0.38,120,0.0,219,333,96,26.0,330,5.9,2.1
423,telur burung sawah,774,12.8,13.8,1.5,0.0,1.2,884.0,540.0,1.0,0.16,0.4,0.25,80,0.0,146,222,64,17.0,220,3.9,1.4
424,telur ayam bagian putih,209,10.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.45,0.0,3,0.0,164,143,6,11.0,13,0.0,0.0
425,telur itik dadar,1134,12.8,23.8,1.5,0.0,1.4,884.0,540.0,1.0,0.16,0.4,0.25,80,0.0,146,222,64,17.0,220,3.9,1.4
426,telur itik bagian putih,209,10.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.45,0.0,3,0.0,164,143,6,11.0,13,0.0,0.0
427,telur ikan,682,19.8,8.4,0.8,0.0,1.1,463.0,297.0,2.0,0.12,0.25,0.33,47,0.0,108,399,62,63.0,253,2.6,1.0
428,telur itik / bebek mentah,774,12.8,13.8,1.5,0.0,1.2,884.0,540.0,1.0,0.16,0.4,0.25,80,0.0,146,222,64,17.0,220,3.9,1.4
429,telur itik bagian kuning,2356,25.7,49.5,3.0,0.0,3.2,1824.0,1284.0,3.0,0.32,0.8,0.5,160,0.0,352,446,130,34.0,442,7.8,2.8
430,telur puyuh,774,12.8,13.8,1.5,0.0,1.2,884.0,540.0,1.0,0.16,0.4,0.25,80,0.0,146,222,64,17.0,220,3.9,1.4
431,telur penyu,649,12.6,10.6,1.1,0.0,1.4,424.0,190.0,2.0,0.07,0.51,0.12,44,0.0,124,126,50,10.0,172,1.2,1.1
432,telur merpati,774,12.8,13.8,1.5,0.0,1.2,884.0,540.0,1.0,0.16,0.4,0.25,80,0.0,146,222,64,17.0,220,3.9,1.4
433,telur puyuh,774,12.8,13.8,1.5,0.0,1.2,884.0,540.0,1.0,0.16,0.4,0.25,80,0.0,146,222,64,17.0,220,3.9,1.4
434,telur menthok,774,12.8,13.8,1.5,0.0,1.2,884.0,540.0,1.0,0.16,0.4,0.25,80,0.0,146,222,64,17.0,220,3.9,1.4
435,telur orak arik,711,10.4,13.3,2.4,0.4,4.3,298.0,137.0,2.0,0.09,0.38,0.12,50,4.0,92,153,51,16.0,143,1.1,0.9
436,tepung susu,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
437,tepung susu neslac 2,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
438,tepung susu sgm 2,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
439,tepung susu skim,1540,35.7,2.1,51.5,0.0,0.0,21.0,11.0,0.0,0.42,1.47,0.42,53,11.0,546,1743,1292,116.0,1061,0.0,4.2
440,tepung susu lactona 2,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
441,tepung susu asam,2109,25.6,28.6,37.6,0.0,0.8,109.0,203.0,0.0,0.19,1.2,0.19,30,8.0,399,1139,981,90.0,763,0.8,3.0
442,minuman susu ultra / ultra milk,276,3.2,3.9,4.8,0.0,0.1,14.0,55.0,0.0,0.04,0.17,0.06,6,1.0,55,140,115,11.0,92,0.1,0.4
443,sayur telur,632,11.1,10.5,2.7,0.8,2.0,360.0,296.0,2.0,0.07,0.46,0.16,40,5.0,107,170,47,13.0,155,1.3,1.0
444,susu kambing,289,3.6,4.1,4.5,0.0,0.1,11.0,56.0,0.0,0.05,0.14,0.05,1,1.0,50,204,134,14.0,111,0.1,0.3
445,susu kental manis,1339,7.8,8.7,54.5,0.0,0.2,33.0,62.0,0.0,0.06,0.38,0.06,9,2.0,122,349,300,28.0,234,0.2,0.9
446,susu sapi,276,3.2,3.9,4.8,0.0,0.1,14.0,55.0,0.0,0.04,0.17,0.06,6,1.0,55,140,115,11.0,92,0.1,0.4
447,susu segar,276,3.2,3.9,4.8,0.0,0.1,14.0,55.0,0.0,0.04,0.17,0.06,6,1.0,55,140,115,11.0,92,0.1,0.4
448,susu skim / tak berlemak cair,146,3.4,0.2,4.9,0.0,0.0,2.0,1.0,0.0,0.04,0.14,0.04,5,1.0,52,166,123,11.0,101,0.0,0.4
449,abon,1318,55.1,8.9,0.0,0.0,0.4,131.0,0.0,0.0,0.17,0.32,0.72,13,0.0,118,751,10,51.0,429,3.8,8.9
450,ampal,1146,18.2,21.5,2.0,0.0,2.6,75.0,1.0,0.0,0.67,0.23,0.3,3,2.0,55,545,90,62.0,424,2.5,8.4
451,ati ayam,657,24.4,5.5,0.9,0.0,0.9,631.0,11325.0,0.0,0.36,2.7,0.4,590,23.0,51,140,14,21.0,312,8.5,4.3
452,ayam,1192,26.9,18.9,0.0,0.0,4.2,79.0,39.0,0.0,0.09,0.24,0.25,5,0.0,73,182,13,20.0,180,1.4,1.8
453,babat,347,14.5,2.4,0.0,0.0,0.1,35.0,0.0,0.0,0.05,0.09,0.19,4,0.0,31,198,3,14.0,113,1.0,2.4
454,bakso bihun,1548,23.5,29.9,0.1,0.0,1.2,104.0,10.0,0.0,0.07,0.16,0.31,8,0.0,55,318,6,21.0,187,1.6,3.8
455,bakso pentol,1548,23.5,29.9,0.1,0.0,1.2,104.0,10.0,0.0,0.07,0.16,0.31,8,0.0,55,318,6,21.0,187,1.6,3.8
456,usus menthok,393,14.1,3.8,0.0,0.0,0.2,35.0,0.0,0.0,0.05,0.08,0.19,4,0.0,30,192,3,13.0,110,1.0,2.3
457,uthi-uthi mentah,1146,18.2,21.5,2.0,0.0,2.6,75.0,1.0,0.0,0.67,0.23,0.3,3,2.0,55,545,90,62.0,424,2.5,8.4
458,usus ayam,393,14.1,3.8,0.0,0.0,0.2,35.0,0.0,0.0,0.05,0.08,0.19,4,0.0,30,192,3,13.0,110,1.0,2.3
459,usus itik,393,14.1,3.8,0.0,0.0,0.2,35.0,0.0,0.0,0.05,0.08,0.19,4,0.0,30,192,3,13.0,110,1.0,2.3
460,buras,1192,26.9,18.9,0.0,0.0,4.2,79.0,39.0,0.0,0.09,0.24,0.25,5,0.0,73,182,13,20.0,180,1.4,1.8
461,buras daging kentang,2071,1.0,50.0,10.8,0.8,14.2,34.0,0.0,2.0,0.06,0.01,0.15,5,7.0,3,196,3,13.0,25,0.2,0.2
462,corned beef,1125,24.9,18.0,0.0,0.0,0.7,75.0,0.0,0.0,0.08,0.15,0.33,6,0.0,1215,340,5,23.0,194,1.7,4.1
463,daging ayam,1192,26.9,18.9,0.0,0.0,4.2,79.0,39.0,0.0,0.09,0.24,0.25,5,0.0,73,182,13,20.0,180,1.4,1.8
464,daging ayam bagian kaki,845,11.4,17.0,0.0,0.0,2.2,50.0,38.0,1.0,0.1,0.16,0.11,4,0.0,35,122,7,10.0,94,1.6,1.1
465,daging ayam bagian kepala,619,14.0,9.8,0.0,0.0,2.2,41.0,20.0,0.0,0.05,0.12,0.13,3,0.0,38,95,7,10.0,94,0.7,0.9
466,daging ayam bagian paha,895,20.2,14.2,0.0,0.0,3.2,59.0,29.0,0.0,0.07,0.18,0.19,4,0.0,55,137,10,15.0,135,1.1,1.4
467,daging ayam bagian sayap,619,14.0,9.8,0.0,0.0,2.2,41.0,20.0,0.0,0.05,0.12,0.13,3,0.0,38,95,7,10.0,94,0.7,0.9
468,daging biawak mentah,548,26.8,1.8,0.0,0.0,0.4,61.0,0.0,0.0,0.03,0.25,0.46,9,0.0,56,313,15,33.0,220,2.1,2.5
469,daging blekok / kuntul,1410,19.0,28.4,0.0,0.0,3.7,84.0,63.0,1.0,0.17,0.27,0.18,6,0.0,59,204,11,16.0,156,2.7,1.9
470,daging burung bagian kepala,619,14.0,9.8,0.0,0.0,2.2,41.0,20.0,0.0,0.05,0.12,0.13,3,0.0,38,95,7,10.0,94,0.7,0.9
471,daging burung mentah,1410,19.0,28.4,0.0,0.0,3.7,84.0,63.0,1.0,0.17,0.27,0.18,6,0.0,59,204,11,16.0,156,2.7,1.9
472,daging domba,1125,24.9,18.0,0.0,0.0,0.7,75.0,0.0,0.0,0.08,0.15,0.33,6,0.0,53,340,4,23.0,194,1.7,4.1
473,daging itik bagian kepala,732,9.9,14.8,0.0,0.0,1.9,44.0,33.0,1.0,0.09,0.14,0.09,3,0.0,31,106,6,8.0,81,1.4,1.0
474,daging itik bagian paha,1059,14.3,21.3,0.0,0.0,2.8,63.0,47.0,1.0,0.13,0.2,0.14,5,0.0,44,153,8,12.0,117,2.0,1.4
475,daging itik bagian sayap,732,9.9,14.8,0.0,0.0,1.9,44.0,33.0,1.0,0.09,0.14,0.09,3,0.0,31,106,6,8.0,81,1.4,1.0
476,daging itik/bebek,1410,19.0,28.4,0.0,0.0,3.7,84.0,63.0,1.0,0.17,0.27,0.18,6,0.0,59,204,11,16.0,156,2.7,1.9
477,daging kambing,1125,24.9,18.0,0.0,0.0,0.7,75.0,0.0,0.0,0.08,0.15,0.33,6,0.0,53,340,4,23.0,194,1.7,4.1
478,daging kelelawar,1125,24.9,18.0,0.0,0.0,0.7,75.0,0.0,0.0,0.08,0.15,0.33,6,0.0,53,340,4,23.0,194,1.7,4.1
479,daging kerbau,548,26.8,1.8,0.0,0.0,0.4,61.0,0.0,0.0,0.03,0.25,0.46,9,0.0,56,313,15,33.0,220,2.1,2.5
480,daging menthok,1410,19.0,28.4,0.0,0.0,3.7,84.0,63.0,1.0,0.17,0.27,0.18,6,0.0,59,204,11,16.0,156,2.7,1.9
481,daging menthok bagian kaki,1410,19.0,28.4,0.0,0.0,3.7,84.0,63.0,1.0,0.17,0.27,0.18,6,0.0,59,204,11,16.0,156,2.7,1.9
482,daging menthok bagian kepala,732,9.9,14.8,0.0,0.0,1.9,44.0,33.0,1.0,0.09,0.14,0.09,3,0.0,31,106,6,8.0,81,1.4,1.0
483,daging menthok bagian sayap,732,9.9,14.8,0.0,0.0,1.9,44.0,33.0,1.0,0.09,0.14,0.09,3,0.0,31,106,6,8.0,81,1.4,1.0
484,daging merpati,870,28.1,9.7,0.0,0.0,2.5,82.0,0.0,0.0,0.06,0.18,0.41,7,0.0,68,280,26,25.0,203,1.8,3.0
485,daging puyuh,870,28.1,9.7,0.0,0.0,2.5,82.0,0.0,0.0,0.06,0.18,0.41,7,0.0,68,280,26,25.0,203,1.8,3.0
486,daging sapi,1125,24.9,18.0,0.0,0.0,0.7,75.0,0.0,0.0,0.08,0.15,0.33,6,0.0,53,340,4,23.0,194,1.7,4.1
487,daging tupai,695,29.0,4.7,0.0,0.0,0.2,69.0,0.0,0.0,0.09,0.17,0.38,7,0.0,62,395,5,27.0,226,2.0,4.7
488,dendeng sapi,4506,103.3,70.7,0.0,0.0,2.8,305.0,0.0,0.0,0.31,0.6,1.36,25,0.0,220,1407,18,95.0,805,7.0,16.7
489,dideh ayam,607,25.1,4.2,0.0,0.0,0.3,347.0,0.0,0.0,0.05,0.3,0.04,4,50.0,57,284,12,19.0,305,39.4,2.8
490,dideh itik,485,20.1,3.4,0.0,0.0,0.2,278.0,0.0,0.0,0.04,0.24,0.03,3,40.0,46,227,10,15.0,244,31.5,2.2
491,dideh kambing,485,20.1,3.4,0.0,0.0,0.2,278.0,0.0,0.0,0.04,0.24,0.03,3,40.0,46,227,10,15.0,244,31.5,2.2
492,dideh kerbau,485,20.1,3.4,0.0,0.0,0.2,278.0,0.0,0.0,0.04,0.24,0.03,3,40.0,46,227,10,15.0,244,31.5,2.2
493,dideh sapi,607,25.1,4.2,0.0,0.0,0.3,347.0,0.0,0.0,0.05,0.3,0.04,4,50.0,57,284,12,19.0,305,39.4,2.8
494,hati ayam,657,24.4,5.5,0.9,0.0,0.9,631.0,11325.0,0.0,0.36,2.7,0.4,590,23.0,51,140,14,21.0,312,8.5,4.3
495,hati biawak,674,24.4,4.9,3.4,0.0,1.1,389.0,20357.0,0.0,0.18,3.6,0.52,290,15.0,70,235,7,20.0,404,6.8,6.1
496,hati burung,657,24.4,5.5,0.9,0.0,0.9,631.0,11325.0,0.0,0.36,2.7,0.4,590,23.0,51,140,14,21.0,312,8.5,4.3
497,hati itik,657,24.4,5.5,0.9,0.0,0.9,631.0,11325.0,0.0,0.36,2.7,0.4,590,23.0,51,140,14,21.0,312,8.5,4.3
498,hati itik bacem,657,24.4,5.5,0.9,0.0,0.9,631.0,11325.0,0.0,0.36,2.7,0.4,590,23.0,51,140,14,21.0,312,8.5,4.3
